Borough,ch4_total,co_total,co2_total,nmvoc_total,nox_total,pm10_total,pm25_total,pm25_domestic,pm25_industrial,pm25_misc,pm25_resuspension,pm25_transport,traffic_volume_total,traffic_hgv_volume,traffic_distance_total,traffic_hgv_distance_total,traffic_speed_weighted,pm25_concentration_mean
Barking and Dagenham,312.1538063109196,262.3998221285908,403002.29223432025,198.4190293898381,746.3476494878103,204.87211521239695,89.1440245254833,25.92640881726913,35.22989262424062,2.0530262622,1.02560738717,24.90908943460355,15558061.0,780771.0,521976736.0,36098232.0,33.535269787154064,10.304756594007728
Barnet,656.1471157493036,810.5150753402537,996594.367687411,375.4054592627384,1450.547164347179,323.89978604842355,146.78477054207386,40.13485620125588,36.775029754800684,2.9392441288,2.4441914496,64.4914490076173,49395752.0,1673185.0,1647552346.0,73348111.0,36.34189632339234,10.34247413660179
Bexley,3506.910682376097,717.40220162319,1435924.5652938483,320.9638999250425,1973.1678372001513,263.1967924145928,126.82546618537492,34.68955391559718,50.63854766113414,2.4719466446,1.3762804661999999,37.6491374978436,23345308.0,914709.0,899385259.0,42284254.0,32.37700063755852,10.097330614640583
Brent,572.0434178835995,566.732678348017,696662.2702826603,428.736013396337,986.1814305332133,270.61732297059484,112.1335909840508,27.77460834980315,45.068775673596804,2.579101028,1.32811891024,35.38298702241085,28859108.0,1265128.0,768014267.0,38254449.0,30.57104006818229,10.797065993190293
Bromley,649.1745084603555,896.3350912595421,804168.4590194061,472.8967672542712,1038.3603756718046,246.8208854316974,131.0749542840232,44.01369325294346,33.483591117202984,3.6535612114,1.39662880961,48.52747989286674,32223460.0,847461.0,1086037144.0,29279888.0,31.433639993967127,9.650779684344853
Camden,452.64477037064614,505.36597537738345,714102.6668450065,151.91889250010192,1083.8443937874206,227.51721553315028,98.03524119326894,9.860847789478282,62.59800242188567,1.8483884056,0.71349525642,23.014507319885,19838466.0,779459.0,385771664.0,14965821.0,18.20048687232168,11.71558090700576
City of Westminster,926.1021417016786,664.2677794900826,1020321.1153763559,284.1814249805691,1729.1586372960815,330.64301456260523,184.39296857568368,9.78396491862348,136.9610439278532,2.853134564,1.2612193616,33.533605803607,32016505.0,975705.0,672958964.0,20880556.0,21.791625319503176,12.536478637519066
Croydon,543.3611495237016,702.7881199681349,805460.0361380647,372.6145256841147,990.8507176948825,306.10281569400604,129.358846876298,46.15318261083593,34.77844639340857,3.289694154,1.34624397674,43.7912797413135,34133981.0,1091487.0,940691634.0,30904748.0,30.365984618084834,10.007281459953672
Ealing,654.4504429836434,609.90225844089,822634.9599087295,383.35774759290297,1196.8978058719504,271.70156145173473,128.53411605498187,36.057710143417715,41.42201452560516,2.7027180768,1.7187147176,46.632958591559,31232355.0,1356716.0,1067737663.0,50812981.0,28.116644550178812,10.662173648108123
Enfield,1916.4893116404103,863.73531553569,1657050.7663953677,392.869105662472,1923.6250286811774,311.3983722509209,140.4935823276314,37.970963963878816,41.496146996542585,2.8001122802,3.01341232339,55.21294676362,38797994.0,1497172.0,1622594027.0,126599130.0,31.101643218976733,10.12180672147901
